name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
ASTRO,DOG,SHETLD SHEEPDOG/MIX,3,16,1,1,1
*GUMBO,DOG,PIT BULL,3,66,1,1,1
DUKE,DOG,PIT BULL/MIX,3,8,0,1,0
BOOMER,DOG,GERM SHEPHERD/PIT BULL,4,3,0,0,0
*BANANA,DOG,FOX TERR SMOOTH/MIX,2,48,0,1,1
NALU,DOG,SIBERIAN HUSKY,4,0,1,1,0
SADIE,DOG,QUEENSLAND HEEL/MIX,4,1,0,1,0
STELLA,DOG,ST BERNARD RGH,5,11,0,0,0
CHARLIE,DOG,PIT BULL,4,80,0,1,1
BUTTERS,DOG,PIT BULL,4,18,1,1,0
CHARLIE,DOG,AUST SHEPHERD,4,3,0,1,0
MUFASA,DOG,PIT BULL/BOXER,3,51,1,0,0
ENANO,DOG,SHIH TZU,2,1,0,0,0
*PI,DOG,PIT BULL,3,113,1,1,0
ZEUS,DOG,GERM SHEPHERD/SIBERIAN HUSKY,4,6,1,1,0
LITTLE,DOG,DACHSHUND/CHIHUAHUA SH,1,11,0,0,0
DUKE,DOG,PIT BULL/MIX,3,6,0,1,0
BOFO,DOG,GERM SHEPHERD/MIX,3,5,0,0,0
FRESCA,DOG,PLOTT HOUND/MIX,3,100,1,1,0
WEDA,DOG,PIT BULL,4,1,0,1,0
SPIKEY,DOG,PARSON RUSS TER/MIX,2,1,0,0,0
BOFO,DOG,GERM SHEPHERD/MIX,3,0,0,0,0
*TULIP,DOG,PIT BULL/MIX,3,90,1,1,1
*FRED,DOG,BORDER COLLIE/MIX,3,29,1,1,1
BEVERLY,DOG,BEAGLE/ENG COCKER SPAN,3,18,0,0,0
*BRUCE,CAT,DOMESTIC MH,2,28,0,1,0
MALITIA,DOG,GERM SHEPHERD,4,18,0,0,0
VISCOCHO,DOG,YORKSHIRE TERR/MIX,2,1,0,0,0
BANDIT,DOG,ANATOL SHEPHERD,5,26,0,1,0
LUCY,DOG,CHIHUAHUA SH/MIX,1,11,0,0,0
OLIVIA,DOG,GERM SHEPHERD,4,26,0,1,0
*MARIAH,CAT,DOMESTIC SH,2,71,1,1,1
*LEBRON,CAT,DOMESTIC SH,2,18,1,1,0
*BARNEY,CAT,DOMESTIC SH,1,4,1,1,1
